datetime,open,high,low,close,volume
2020-01-01 09:15:00,12202.15,12222.05,12184.8,12197.75,0
2020-01-01 10:30:00,12198.05,12198.05,12170.0,12179.35,0
2020-01-01 11:45:00,12179.25,12193.15,12165.4,12182.8,0
2020-01-01 13:00:00,12182.85,12197.75,12171.75,12182.15,0
2020-01-01 14:15:00,12182.05,12191.95,12169.5,12189.7,0
2020-01-02 10:15:00,12220.0,12242.55,12218.6,12237.7,0
2020-01-02 11:30:00,12237.35,12270.25,12237.05,12265.95,0
2020-01-02 12:45:00,12265.9,12267.15,12250.5,12265.65,0
2020-01-02 14:00:00,12265.9,12285.4,12260.25,12284.05,0
2020-01-02 15:15:00,12283.55,12289.75,12278.7,12282.35,0
2020-01-03 10:00:00,12241.4,12265.5,12235.4,12243.45,0
2020-01-03 11:15:00,12243.85,12249.05,12214.15,12229.65,0
2020-01-03 12:30:00,12229.85,12240.05,12222.2,12225.05,0
2020-01-03 13:45:00,12224.9,12227.15,12192.4,12196.9,0
2020-01-03 15:00:00,12196.6,12234.05,12196.6,12222.2,0
2020-01-06 09:15:00,12170.6,12175.45,12063.25,12081.5,0
2020-01-06 10:30:00,12081.75,12098.45,12031.2,12032.65,0
2020-01-06 11:45:00,12032.95,12037.8,12008.4,12012.4,0
2020-01-06 13:00:00,12012.2,12028.25,11991.35,11991.45,0
2020-01-06 14:15:00,11991.25,12013.5,11974.35,11988.1,0
2020-01-07 10:15:00,12130.7,12131.7,12053.55,12071.55,0
2020-01-07 11:30:00,12071.85,12095.1,12064.5,12076.6,0
2020-01-07 12:45:00,12076.75,12087.55,12005.7,12031.7,0
2020-01-07 14:00:00,12031.35,12058.95,12022.95,12055.15,0
2020-01-07 15:15:00,12055.25,12065.9,12053.9,12060.3,0
2020-01-08 10:00:00,11992.35,12021.1,11962.85,11964.55,0
2020-01-08 11:15:00,11964.65,11978.4,11951.25,11975.05,0
2020-01-08 12:30:00,11974.65,12011.5,11974.65,11990.25,0
2020-01-08 13:45:00,11989.95,12036.15,11981.75,12026.85,0
2020-01-08 15:00:00,12026.75,12033.75,12013.9,12021.6,0
2020-01-09 09:45:00,12156.25,12187.15,12136.5,12181.6,0
2020-01-09 11:00:00,12182.05,12192.5,12170.95,12189.9,0
2020-01-09 12:15:00,12189.95,12217.8,12181.05,12210.5,0
2020-01-09 13:30:00,12210.25,12213.7,12185.75,12195.2,0
2020-01-09 14:45:00,12194.8,12224.0,12194.75,12214.45,0
2020-01-10 09:30:00,12247.9,12285.15,12231.05,12278.8,0
2020-01-10 10:45:00,12279.3,12311.05,12272.1,12296.15,0
2020-01-10 12:00:00,12295.85,12309.3,12278.5,12287.7,0
2020-01-10 13:15:00,12287.35,12292.5,12216.75,12231.9,0
2020-01-10 14:30:00,12230.9,12264.85,12213.6,12256.5,0
2020-01-13 10:00:00,12318.05,12334.95,12308.0,12330.65,0
2020-01-13 11:15:00,12330.4,12335.75,12318.2,12326.7,0
2020-01-13 12:30:00,12326.5,12335.55,12305.55,12311.0,0
2020-01-13 13:45:00,12310.9,12325.05,12296.0,12317.55,0
2020-01-13 15:00:00,12317.7,12336.15,12317.55,12329.6,0
2020-01-14 09:45:00,12331.0,12346.3,12319.4,12333.7,0
2020-01-14 11:00:00,12333.65,12346.6,12326.0,12345.4,0
2020-01-14 12:15:00,12345.7,12348.75,12331.35,12331.7,0
2020-01-14 13:30:00,12331.5,12358.1,12322.4,12357.05,0
2020-01-14 14:45:00,12356.65,12373.65,12354.5,12360.05,0
2020-01-15 09:30:00,12308.35,12315.5,12290.4,12298.0,0
2020-01-15 10:45:00,12298.1,12311.6,12291.35,12305.35,0
2020-01-15 12:00:00,12305.4,12306.0,12284.55,12298.95,0
2020-01-15 13:15:00,12298.7,12313.6,12279.05,12312.95,0
2020-01-15 14:30:00,12312.65,12355.0,12301.45,12340.35,0
2020-01-16 09:15:00,12347.1,12389.0,12345.4,12348.7,0
2020-01-16 10:30:00,12347.95,12358.8,12315.85,12334.1,0
2020-01-16 11:45:00,12334.8,12343.25,12321.65,12337.3,0
2020-01-16 13:00:00,12337.05,12368.05,12337.05,12364.4,0
2020-01-16 14:15:00,12364.4,12367.7,12344.35,12354.05,0
2020-01-17 10:15:00,12377.85,12385.25,12352.65,12356.15,0
2020-01-17 11:30:00,12356.15,12362.1,12336.6,12358.55,0
2020-01-17 12:45:00,12359.15,12367.35,12344.35,12362.35,0
2020-01-17 14:00:00,12362.25,12370.35,12345.75,12350.9,0
2020-01-17 15:15:00,12350.7,12355.65,12344.65,12346.1,0
2020-01-20 09:30:00,12372.35,12376.35,12277.55,12284.85,0
2020-01-20 10:45:00,12285.15,12311.3,12282.05,12297.3,0
2020-01-20 12:00:00,12297.3,12301.1,12246.75,12246.75,0
2020-01-20 13:15:00,12247.8,12280.75,12233.8,12237.9,0
2020-01-20 14:30:00,12237.95,12252.6,12217.25,12230.75,0
2020-01-21 09:15:00,12195.3,12230.05,12162.95,12192.8,0
2020-01-21 10:30:00,12191.75,12198.85,12168.2,12196.45,0
2020-01-21 11:45:00,12195.45,12210.0,12180.55,12189.3,0
2020-01-21 13:00:00,12190.3,12201.95,12176.1,12182.05,0
2020-01-21 14:15:00,12182.0,12200.65,12162.55,12169.65,0
2020-01-22 10:15:00,12171.2,12175.25,12125.9,12136.6,0
2020-01-22 11:30:00,12137.1,12141.55,12119.4,12134.15,0
2020-01-22 12:45:00,12133.8,12143.5,12119.55,12128.2,0
2020-01-22 14:00:00,12128.45,12129.4,12088.8,12106.9,0
2020-01-22 15:15:00,12107.2,12113.3,12097.3,12108.15,0
2020-01-23 10:00:00,12166.45,12167.0,12114.65,12115.8,0
2020-01-23 11:15:00,12116.55,12155.0,12109.6,12146.5,0
2020-01-23 12:30:00,12146.95,12187.05,12145.2,12167.25,0
2020-01-23 13:45:00,12169.0,12176.25,12160.55,12167.0,0
2020-01-23 15:00:00,12167.6,12188.5,12167.6,12179.9,0
2020-01-24 09:45:00,12217.3,12246.3,12200.9,12227.85,0
2020-01-24 11:00:00,12227.6,12238.5,12216.1,12224.75,0
2020-01-24 12:15:00,12224.4,12244.8,12216.8,12240.1,0
2020-01-24 13:30:00,12241.0,12272.05,12240.35,12261.9,0
2020-01-24 14:45:00,12262.7,12268.4,12243.4,12252.15,0
