,date,open,high,low,close,volume
0,2026-06-01 09:15:00+05:30,23654.5,23733.7,23625.3,23631.45,0
1,2026-06-01 09:16:00+05:30,23636.0,23649.9,23614.5,23630.85,0
2,2026-06-01 09:17:00+05:30,23630.4,23645.0,23625.35,23640.5,0
3,2026-06-01 09:18:00+05:30,23638.95,23649.2,23634.0,23644.95,0
4,2026-06-01 09:19:00+05:30,23644.35,23653.4,23629.25,23633.0,0
5,2026-06-01 09:20:00+05:30,23633.4,23646.05,23627.2,23630.55,0
6,2026-06-01 09:21:00+05:30,23629.85,23632.8,23616.05,23631.2,0
7,2026-06-01 09:22:00+05:30,23630.35,23631.7,23608.75,23614.45,0
8,2026-06-01 09:23:00+05:30,23613.3,23618.6,23603.15,23606.45,0
9,2026-06-01 09:24:00+05:30,23606.55,23607.6,23588.55,23598.9,0
10,2026-06-01 09:25:00+05:30,23597.95,23612.4,23589.05,23590.15,0
11,2026-06-01 09:26:00+05:30,23590.3,23609.75,23590.3,23608.8,0
12,2026-06-01 09:27:00+05:30,23609.1,23610.85,23595.55,23598.55,0
13,2026-06-01 09:28:00+05:30,23598.65,23608.65,23597.8,23606.25,0
14,2026-06-01 09:29:00+05:30,23604.9,23608.05,23587.75,23592.95,0
15,2026-06-01 09:30:00+05:30,23591.95,23607.6,23587.7,23605.95,0
16,2026-06-01 09:31:00+05:30,23606.15,23615.95,23603.25,23604.65,0
17,2026-06-01 09:32:00+05:30,23604.8,23616.15,23600.25,23614.3,0
18,2026-06-01 09:33:00+05:30,23614.85,23618.7,23607.2,23607.2,0
19,2026-06-01 09:34:00+05:30,23607.45,23616.05,23606.55,23609.6,0
20,2026-06-01 09:35:00+05:30,23609.7,23611.0,23585.0,23585.0,0
21,2026-06-01 09:36:00+05:30,23585.9,23587.25,23569.4,23571.15,0
22,2026-06-01 09:37:00+05:30,23570.65,23582.45,23565.8,23577.4,0
23,2026-06-01 09:38:00+05:30,23576.65,23598.0,23576.55,23596.75,0
24,2026-06-01 09:39:00+05:30,23597.3,23611.1,23595.2,23608.75,0
25,2026-06-01 09:40:00+05:30,23608.4,23623.8,23608.3,23612.5,0
26,2026-06-01 09:41:00+05:30,23611.75,23617.85,23604.0,23605.0,0
27,2026-06-01 09:42:00+05:30,23604.2,23607.25,23592.8,23594.9,0
28,2026-06-01 09:43:00+05:30,23593.9,23598.15,23587.65,23592.95,0
29,2026-06-01 09:44:00+05:30,23592.6,23594.4,23572.35,23576.7,0
30,2026-06-01 09:45:00+05:30,23575.35,23592.1,23575.25,23592.1,0
31,2026-06-01 09:46:00+05:30,23590.75,23594.5,23582.85,23583.45,0
32,2026-06-01 09:47:00+05:30,23581.4,23584.3,23567.45,23571.85,0
33,2026-06-01 09:48:00+05:30,23570.7,23580.6,23570.7,23574.8,0
34,2026-06-01 09:49:00+05:30,23573.9,23580.2,23567.7,23580.2,0
35,2026-06-01 09:50:00+05:30,23579.1,23595.4,23576.7,23579.9,0
36,2026-06-01 09:51:00+05:30,23580.25,23586.55,23573.75,23581.25,0
37,2026-06-01 09:52:00+05:30,23579.6,23581.75,23572.05,23572.55,0
38,2026-06-01 09:53:00+05:30,23573.05,23592.0,23573.05,23588.95,0
39,2026-06-01 09:54:00+05:30,23588.35,23591.1,23584.95,23585.55,0
40,2026-06-01 09:55:00+05:30,23584.95,23588.8,23576.45,23578.15,0
41,2026-06-01 09:56:00+05:30,23577.5,23579.35,23569.5,23570.7,0
42,2026-06-01 09:57:00+05:30,23570.05,23577.7,23561.7,23576.0,0
43,2026-06-01 09:58:00+05:30,23575.4,23581.55,23566.3,23566.85,0
44,2026-06-01 09:59:00+05:30,23566.15,23574.5,23556.75,23561.8,0
45,2026-06-01 10:00:00+05:30,23561.05,23567.55,23561.05,23563.3,0
46,2026-06-01 10:01:00+05:30,23562.35,23566.9,23553.85,23554.45,0
47,2026-06-01 10:02:00+05:30,23555.1,23558.65,23552.3,23555.9,0
48,2026-06-01 10:03:00+05:30,23555.5,23557.5,23537.0,23537.65,0
49,2026-06-01 10:04:00+05:30,23537.55,23545.8,23537.55,23538.7,0
50,2026-06-01 10:05:00+05:30,23539.35,23547.95,23537.95,23541.85,0
51,2026-06-01 10:06:00+05:30,23541.85,23554.05,23541.85,23551.2,0
52,2026-06-01 10:07:00+05:30,23550.65,23558.95,23549.8,23558.95,0
53,2026-06-01 10:08:00+05:30,23558.6,23567.8,23556.0,23562.2,0
54,2026-06-01 10:09:00+05:30,23561.6,23569.95,23556.05,23569.85,0
55,2026-06-01 10:10:00+05:30,23569.25,23570.65,23560.2,23561.65,0
56,2026-06-01 10:11:00+05:30,23560.8,23567.9,23553.35,23554.6,0
57,2026-06-01 10:12:00+05:30,23555.1,23567.95,23555.1,23561.2,0
58,2026-06-01 10:13:00+05:30,23559.4,23572.35,23559.3,23560.0,0
59,2026-06-01 10:14:00+05:30,23560.0,23564.65,23553.15,23553.15,0
60,2026-06-01 10:15:00+05:30,23552.7,23554.9,23539.05,23548.45,0
61,2026-06-01 10:16:00+05:30,23547.95,23552.45,23545.65,23549.7,0
62,2026-06-01 10:17:00+05:30,23549.1,23564.1,23549.1,23562.4,0
63,2026-06-01 10:18:00+05:30,23561.45,23563.45,23556.85,23560.1,0
64,2026-06-01 10:19:00+05:30,23559.55,23561.5,23549.7,23558.65,0
65,2026-06-01 10:20:00+05:30,23558.15,23558.55,23552.15,23555.9,0
66,2026-06-01 10:21:00+05:30,23555.3,23560.15,23553.7,23559.25,0
67,2026-06-01 10:22:00+05:30,23559.4,23565.75,23558.15,23565.25,0
68,2026-06-01 10:23:00+05:30,23565.05,23566.4,23556.15,23559.75,0
69,2026-06-01 10:24:00+05:30,23559.7,23562.15,23548.95,23549.6,0
70,2026-06-01 10:25:00+05:30,23549.15,23557.8,23549.15,23553.75,0
71,2026-06-01 10:26:00+05:30,23553.5,23561.15,23551.6,23552.4,0
72,2026-06-01 10:27:00+05:30,23551.4,23553.0,23536.8,23539.4,0
73,2026-06-01 10:28:00+05:30,23538.85,23544.35,23537.8,23543.05,0
74,2026-06-01 10:29:00+05:30,23542.55,23547.85,23539.85,23539.85,0
75,2026-06-01 10:30:00+05:30,23539.35,23544.95,23535.1,23538.55,0
76,2026-06-01 10:31:00+05:30,23537.3,23539.8,23531.5,23536.95,0
77,2026-06-01 10:32:00+05:30,23537.2,23550.2,23535.1,23535.4,0
78,2026-06-01 10:33:00+05:30,23534.95,23539.55,23523.65,23523.65,0
79,2026-06-01 10:34:00+05:30,23523.8,23532.5,23517.7,23530.0,0
80,2026-06-01 10:35:00+05:30,23529.2,23533.25,23523.2,23525.85,0
81,2026-06-01 10:36:00+05:30,23524.75,23533.25,23518.75,23530.35,0
82,2026-06-01 10:37:00+05:30,23530.35,23534.4,23527.95,23534.4,0
83,2026-06-01 10:38:00+05:30,23533.9,23553.95,23533.9,23546.35,0
84,2026-06-01 10:39:00+05:30,23546.7,23547.3,23540.7,23543.05,0
85,2026-06-01 10:40:00+05:30,23542.3,23547.75,23535.75,23539.35,0
86,2026-06-01 10:41:00+05:30,23539.05,23547.6,23536.4,23546.45,0
87,2026-06-01 10:42:00+05:30,23546.2,23552.6,23544.3,23551.4,0
88,2026-06-01 10:43:00+05:30,23551.65,23555.15,23538.3,23542.95,0
89,2026-06-01 10:44:00+05:30,23542.35,23544.45,23538.0,23538.25,0
90,2026-06-01 10:45:00+05:30,23538.2,23544.85,23537.0,23544.85,0
91,2026-06-01 10:46:00+05:30,23544.3,23556.85,23544.3,23555.35,0
92,2026-06-01 10:47:00+05:30,23554.25,23562.15,23554.25,23556.7,0
93,2026-06-01 10:48:00+05:30,23556.8,23570.4,23555.9,23570.35,0
94,2026-06-01 10:49:00+05:30,23570.15,23578.6,23568.8,23570.7,0
95,2026-06-01 10:50:00+05:30,23570.2,23574.05,23564.75,23571.15,0
96,2026-06-01 10:51:00+05:30,23570.7,23580.1,23569.9,23580.1,0
97,2026-06-01 10:52:00+05:30,23578.9,23588.75,23578.9,23588.7,0
98,2026-06-01 10:53:00+05:30,23587.9,23592.2,23586.4,23590.9,0
99,2026-06-01 10:54:00+05:30,23590.3,23593.85,23587.25,23593.65,0
100,2026-06-01 10:55:00+05:30,23592.45,23595.75,23590.25,23595.05,0
101,2026-06-01 10:56:00+05:30,23594.6,23597.2,23589.95,23592.1,0
102,2026-06-01 10:57:00+05:30,23591.35,23594.3,23587.25,23587.25,0
103,2026-06-01 10:58:00+05:30,23586.5,23589.9,23573.0,23574.65,0
104,2026-06-01 10:59:00+05:30,23573.75,23576.6,23567.65,23569.75,0
105,2026-06-01 11:00:00+05:30,23569.95,23587.3,23569.95,23584.95,0
106,2026-06-01 11:01:00+05:30,23584.9,23596.2,23584.9,23592.85,0
107,2026-06-01 11:02:00+05:30,23592.2,23595.15,23587.9,23590.2,0
108,2026-06-01 11:03:00+05:30,23589.8,23591.45,23586.75,23589.2,0
